requestID,userID,datetime,locationID,chargingLen,originLocationID,originHour,x_value
13242,604738H,2018-07-01 00:00:00,50268,3.0,50268,0,2.213545630537989
13231,605432,2018-07-01 03:00:00,50911,1.0,50911,3,0.012814645308924498
13227,605432,2018-07-01 04:00:00,50911,2.0,50911,4,46.99704360535429
13230,607289,2018-07-01 04:00:00,50269,3.0,50269,4,0.005046817934870231
19016,518475,2018-07-01 07:00:00,50911,2.0,50911,7,0.06366714590123539
19017,606789,2018-07-01 07:00:00,50909,1.0,50909,7,-2.727512376468974
13221,601555,2018-07-01 08:00:00,50911,1.0,50911,8,0.06265284889555169
18996,605077H,2018-07-01 09:00:00,50911,2.0,50911,9,0.03655110586923699
18997,601085,2018-07-01 21:00:00,50349,1.0,50349,9,0.0063637753425341455
19003,606102,2018-07-01 09:00:00,50692,1.0,50692,9,29.183815543449352
19004,604899H,2018-07-01 09:00:00,50267,2.0,50267,9,0.04377958975221006
13214,606941,2018-07-01 09:00:00,51087,3.0,51087,9,0.0647545528051663
13216,606941,2018-07-01 14:00:00,50230,3.0,51087,9,0.07976580115211897
13217,606941,2018-07-01 14:00:00,50266,2.0,51087,9,0.09986515434514036
13219,606620,2018-07-01 09:00:00,50911,1.0,50911,9,-4.802487890606455
18977,604773H,2018-07-01 10:00:00,50841,2.0,50841,10,2.6861739771751306e-05
18983,604897H,2018-07-01 10:00:00,51198,1.0,51198,10,4.0003786553758784
18986,600108,2018-07-01 13:00:00,50338,2.0,50269,10,0.017012447465561523
18987,600108,2018-07-01 10:00:00,50269,2.0,50269,10,0.04179107466383927
18988,600108,2018-07-01 10:00:00,50269,3.0,50269,10,0.047841268555906966
18989,604799H,2018-07-01 10:00:00,51198,1.0,51198,10,0.038337058893353336
18990,604380H,2018-07-01 19:00:00,50911,2.0,50911,10,0.0
13206,603906,2018-07-01 21:00:00,50692,2.0,50841,10,0.06559252252227825
13208,607938,2018-07-01 10:00:00,50911,2.0,50911,10,-5.075925194641699
13202,606260,2018-07-01 13:00:00,51199,3.0,50911,10,0.059687949282408156
18958,604771H,2018-07-01 11:00:00,50240,2.0,50240,11,0.02993751947003511
18959,607626,2018-07-01 13:00:00,50911,1.0,50911,11,10.559341065539202
18957,604728H,2018-07-01 11:00:00,51198,1.0,51198,11,0.048890118241539444
18965,602824,2018-07-01 09:00:00,50240,1.0,50911,11,0.004003377118680727
18972,604752H,2018-07-01 11:00:00,51200,2.0,51200,11,0.17525463498228872
18961,604739H,2018-07-01 11:00:00,51199,1.0,51199,11,8.873856450242515e-05
13199,607696,2018-07-01 11:00:00,50909,3.0,50263,11,0.05032918900833468
18940,606102,2018-07-01 16:00:00,50911,3.0,50911,12,0.07976580115211897
18941,604733H,2018-07-01 12:00:00,50266,1.0,51200,12,0.03724032427080841
18944,604895H,2018-07-01 07:00:00,50261,2.0,50338,12,0.003722127070678101
18945,604804H,2018-07-01 12:00:00,50675,1.0,50230,12,2.6816701318641665e-05
18948,604726H,2018-07-01 12:00:00,51199,2.0,51199,12,-1.9049422168456565
18949,604903H,2018-07-01 13:00:00,50266,1.0,50266,12,0.06404013837426195
18955,607289,2018-07-01 01:00:00,51087,2.0,50269,12,0.03765789145532773
18951,604832H,2018-07-01 12:00:00,50267,1.0,50267,12,16.400629246621516
18935,606789,2018-07-01 12:00:00,50909,1.0,50909,12,-1.3178856932327117
13180,604832H,2018-07-01 12:00:00,50267,2.0,50267,12,19.24848629665062
13181,604903H,2018-07-01 21:00:00,50692,1.0,50266,12,0.0197398778843045
18930,604802H,2018-07-01 13:00:00,50269,2.0,50269,13,0.00036449240640730566
18929,604380H,2018-07-01 14:00:00,50911,1.0,50911,13,0.06366714590123539
18926,604900H,2018-07-01 16:00:00,50266,2.0,50266,13,0.02232612428973201
18921,604761H,2018-07-01 21:00:00,50349,1.0,50349,13,0.000537198619502315
18933,604730H,2018-07-01 13:00:00,50263,1.0,50263,13,0.0004576659038901645
18918,604758H,2018-07-01 14:00:00,50263,2.0,50263,13,9.503526869775861
18924,606523,2018-07-01 17:00:00,50911,2.0,50911,13,21.887861657587013
18923,603904,2018-07-01 08:00:00,51200,2.0,51087,13,0.06055539209511415
13173,607855,2018-07-01 19:00:00,50911,1.0,50911,13,22.52332271484045
18909,604733H,2018-07-01 14:00:00,51198,1.0,51198,14,0.021864831445292294
13161,517866,2018-07-01 14:00:00,51087,2.0,51087,14,34.735705859179255
18891,604749H,2018-07-01 15:00:00,51200,1.0,51200,15,0.1581347049329385
18885,604739H,2018-07-01 15:00:00,51199,1.0,51199,15,0.009047565708886911
18889,605077H,2018-07-01 09:00:00,50267,2.0,51087,15,0.05217714678270547
18895,604976,2018-07-01 19:00:00,50911,1.0,50911,15,0.05409633160848551
18897,604728H,2018-07-01 15:00:00,51198,1.0,51198,15,0.06388389378343454
18900,604804H,2018-07-01 15:00:00,50230,2.0,50230,15,0.0056631462927245625
18903,604904H,2018-07-01 15:00:00,51199,1.0,51199,15,5.173956797332358
18904,604902H,2018-07-01 15:00:00,50261,2.0,50261,15,25.613268749901053
18879,604897H,2018-07-01 16:00:00,51200,1.0,51200,16,5.7615063075788635
18876,604725H,2018-07-01 16:00:00,50261,2.0,50261,16,-5.8673827488138395
18878,604738H,2018-07-01 16:00:00,50268,2.0,50268,16,3.4664467484452905
18881,604836H,2018-07-01 16:00:00,50269,2.0,50269,16,0.0002557544757033297
18884,604771H,2018-07-01 16:00:00,50240,2.0,50240,16,0.005928553271285913
18882,518475,2018-07-01 17:00:00,50263,3.0,50911,16,0.03655110586923699
18866,606941,2018-07-01 17:00:00,51087,3.0,51087,17,0.007549140577289545
18863,604760H,2018-07-01 17:00:00,50240,1.0,50240,17,1.4898470701586646
18873,V009198,2018-07-01 20:00:00,50911,2.0,50911,17,2.7702153565770304
13140,603912,2018-07-01 18:00:00,50909,3.0,50911,17,0.0013718722859416635
13143,606620,2018-07-01 20:00:00,50911,1.0,50911,17,-6.93615662192339
13145,520263,2018-07-01 17:00:00,50909,1.0,50909,17,-9.529738432114444
18861,605454,2018-07-01 18:00:00,50692,2.0,50692,18,59.76429374976927
18858,506530,2018-07-01 13:00:00,50675,2.0,50909,18,0.010402414124138712
18852,606909,2018-07-01 00:00:00,50692,3.0,50692,19,19.248486296650242
18855,518009,2018-07-01 20:00:00,50692,1.0,50692,19,-33.10234137765061
18851,607224,2018-07-01 21:00:00,50911,2.0,50911,19,0.03161529867389199
13128,603912,2018-07-01 18:00:00,50268,2.0,51087,19,0.024067995993860714
13126,604380H,2018-07-01 21:00:00,50911,2.0,50911,19,3.9077186394315717
13125,519392,2018-07-01 21:00:00,50911,2.0,51087,19,1.3333333333333398e-05
18846,607289,2018-07-01 21:00:00,50911,3.0,50911,20,0.054249409244968474
18847,607289,2018-07-01 22:00:00,50911,1.0,50911,20,0.005046817934870231
18849,604900H,2018-07-01 20:00:00,50266,2.0,50266,20,12.95315626810706
13123,607795,2018-07-01 09:00:00,50269,1.0,50909,20,0.04165981486568245
18840,519392,2018-07-01 21:00:00,51198,2.0,50911,21,0.06268948798847306
18845,604773H,2018-07-01 21:00:00,50841,1.0,50841,21,2.1944060608944904e-05
13113,519392,2018-07-01 21:00:00,51087,2.0,51087,21,0.007716899256784905
13111,519392,2018-07-01 21:00:00,50349,2.0,51087,21,0.06187880889446999
13109,603906,2018-07-01 21:00:00,50841,1.0,50841,21,0.03575374662862141
13105,604903H,2018-07-01 21:00:00,50909,1.0,50266,21,0.036530663989772595
13103,605931,2018-07-01 22:00:00,50911,2.0,50911,21,0.025472365863732523
13097,604380H,2018-07-01 00:00:00,50911,2.0,50911,22,0.09986515434514036
18836,607688,2018-07-01 00:00:00,51087,3.0,51087,23,2.56132687499011
18838,606666,2018-07-01 00:00:00,50349,3.0,50349,23,0.010222771196519528
13092,604732H,2018-07-01 00:00:00,50268,3.0,50268,23,-47.15180908403832
13090,604738H,2018-07-01 00:00:00,50268,3.0,50268,23,6.135227200010791
