requestID,userID,datetime,locationID,chargingLen,originLocationID,originHour,x_value
10897,605931,2018-07-05 05:00:00,50349,1.0,50349,5,-1.8887437845407848
10895,605931,2018-07-05 00:00:00,50911,2.0,50349,6,-1.459190777172473
11104,604899H,2018-07-05 07:00:00,50338,2.0,50338,7,-15.248637047908655
10891,605079H,2018-07-05 07:00:00,50692,1.0,50692,7,-39.9258832744302
10892,604899H,2018-07-05 07:00:00,50338,2.0,50338,7,-0.193005642179401
10890,518475,2018-07-05 07:00:00,50911,2.0,50911,7,-30.79203707463485
11095,518622,2018-07-05 11:00:00,50675,1.0,50675,8,-3.5639590428314762
11081,601555,2018-07-05 09:00:00,50911,2.0,50911,9,-28.605213288968084
11082,604749H,2018-07-05 09:00:00,51198,2.0,51198,9,-3.2019773508272675
11084,601085,2018-07-05 21:00:00,50349,2.0,50349,9,-0.016770186335403742
11086,604750H,2018-07-05 09:00:00,50230,3.0,50230,9,-8.600179045816072
11087,604802H,2018-07-05 09:00:00,50269,1.0,50269,9,-21.655236041440524
11090,604804H,2018-07-05 09:00:00,50230,2.0,50230,9,-5.217391304347826e-05
10877,606850,2018-07-05 21:00:00,50349,3.0,50349,9,-15.409033436877293
10875,604804H,2018-07-05 11:00:00,50230,1.0,50230,9,-6.1369811988696865
10873,604726H,2018-07-05 09:00:00,51199,1.0,51199,9,-5.900586331882769
10871,604727H,2018-07-05 09:00:00,50261,1.0,50261,9,-0.01978047656369778
10878,518475,2018-07-05 11:00:00,50911,2.0,50911,9,-40.98385122947217
11076,604752H,2018-07-05 10:00:00,51199,2.0,51199,10,-41.608030201019965
11072,606941,2018-07-05 13:00:00,50911,2.0,50911,10,-0.05200001418195405
11074,604733H,2018-07-05 10:00:00,51200,2.0,51200,10,-13.669656363364247
11077,604733H,2018-07-05 10:00:00,51200,2.0,51200,10,-33.21764133977479
11080,604799H,2018-07-05 10:00:00,51199,2.0,51199,10,-16.41520688990559
10866,604749H,2018-07-05 12:00:00,51199,3.0,51199,10,-19.92074712506655
10865,604749H,2018-07-05 12:00:00,51199,1.0,51199,10,-0.018232819074333835
10864,600963,2018-07-05 16:00:00,50911,2.0,50911,10,-4.622602394695723
10861,604897H,2018-07-05 00:00:00,51198,1.0,51200,10,-0.020152797815726983
10859,604899H,2018-07-05 10:00:00,50338,1.0,50338,10,-5.931755272103544
10857,518475,2018-07-05 11:00:00,50911,1.0,50911,10,-1.2050271344030197
11053,604745H,2018-07-05 00:00:00,50349,1.0,51198,11,-0.7706646862053536
11051,604771H,2018-07-05 11:00:00,50240,1.0,50240,11,-2.7653743117587237
11054,604902H,2018-07-05 11:00:00,50261,2.0,50261,11,-5.710541043092794
11057,516399,2018-07-05 11:00:00,50909,1.0,50909,11,-52.10998118738762
11061,604726H,2018-07-05 11:00:00,51200,1.0,51200,11,-24.287168002701133
11060,603522H,2018-07-05 18:00:00,50911,2.0,50911,11,-64.03317187475275
10849,605079H,2018-07-05 11:00:00,50692,1.0,50692,11,-26.572548301981996
10845,607289,2018-07-05 00:00:00,50267,3.0,50269,11,-0.5914754685896023
10847,607856,2018-07-05 18:00:00,50911,1.0,50911,11,-1.47358559751151
10848,604738H,2018-07-05 11:00:00,50268,2.0,50268,11,8.556475944772148e-05
10844,603902,2018-07-05 11:00:00,50269,3.0,50269,11,-22.00058336601074
11048,604904H,2018-07-05 12:00:00,51198,2.0,51198,12,-12.934891993330897
11036,604897H,2018-07-05 12:00:00,51200,2.0,51200,12,-27.681367783145653
11046,604749H,2018-07-05 13:00:00,51199,2.0,51199,12,-15.988999952246862
11041,603906,2018-07-05 12:00:00,50841,1.0,50841,12,-9.130434782608695e-05
11039,604775H,2018-07-05 12:00:00,50263,1.0,50263,12,-29.74132146752358
11035,604832H,2018-07-05 12:00:00,50267,1.0,50267,12,-9.58514355262536
11047,605642,2018-07-05 19:00:00,50911,2.0,50911,12,-34.23206381684487
10829,604771H,2018-07-05 12:00:00,50240,1.0,50240,12,-20.907759113507222
10830,604903H,2018-07-05 12:00:00,50266,2.0,50266,12,-38.907092978082616
10835,604804H,2018-07-05 12:00:00,50230,1.0,50230,12,-13.289930015861273
10838,604773H,2018-07-05 12:00:00,50841,2.0,50841,12,-32.64472518265433
10841,604730H,2018-07-05 13:00:00,50263,1.0,50263,12,-30.097699605289414
10832,605432,2018-07-05 12:00:00,50692,3.0,50692,12,-17.340391554808473
11033,604761H,2018-07-05 21:00:00,50349,1.0,50349,13,-22.257492742156085
11025,607507,2018-07-05 20:00:00,50911,2.0,50911,13,-35.21824453111401
11023,604748H,2018-07-05 13:00:00,51087,2.0,51087,13,-31.21869679990662
10819,604761H,2018-07-05 21:00:00,50349,1.0,50349,13,-3.450712638019519
10815,604796H,2018-07-05 13:00:00,50267,1.0,50267,13,-7.038563420705045e-05
10808,605073H,2018-07-05 20:00:00,50911,2.0,50911,13,-0.00011262950152574003
10821,604749H,2018-07-05 13:00:00,51200,1.0,51200,13,-14.536712170898838
10823,604900H,2018-07-05 13:00:00,50266,1.0,50266,13,-16.204659361591748
10825,604904H,2018-07-05 13:00:00,51199,1.0,51199,13,-27.291835369393773
11013,604802H,2018-07-05 14:00:00,50269,1.0,50269,14,-32.64632189625283
11002,604895H,2018-07-05 14:00:00,50267,2.0,50267,14,-9.80075146251663
11003,604899H,2018-07-05 14:00:00,50338,1.0,50338,14,-0.193005642179401
11005,604749H,2018-07-05 14:00:00,51199,1.0,51199,14,-19.412802520735365
11006,606102,2018-07-05 14:00:00,50692,2.0,50692,14,-22.174616237632314
11008,604728H,2018-07-05 14:00:00,51198,2.0,51198,14,-31.884859722743112
10804,607855,2018-07-05 00:00:00,50240,2.0,50911,14,-0.020131041539438788
10795,604804H,2018-07-05 14:00:00,50230,1.0,50230,14,-13.289930015861273
