requestID,userID,datetime,locationID,chargingLen,originLocationID,originHour,x_value
11118,604734H,2018-07-04 00:00:00,50268,2.0,50268,23,-5.3300200402113305
11324,519392,2018-07-04 00:00:00,50911,3.0,50911,22,0.09653631586696905
11130,601535,2018-07-04 21:00:00,50692,3.0,50692,21,4.934871122509714
11360,519392,2018-07-04 21:00:00,50675,2.0,50911,17,0.053263041456587716
11340,604773H,2018-07-04 20:00:00,50841,2.0,50841,20,0.03322963328234708
11132,604900H,2018-07-04 21:00:00,50266,2.0,50266,21,22.274830738873725
11242,604903H,2018-07-04 19:00:00,50266,2.0,50266,13,0.10000000000000009
11405,604800H,2018-07-04 14:00:00,50911,2.0,50911,14,2.780472517973151
11348,603522H,2018-07-04 21:00:00,50911,3.0,50911,19,0.08987752870692615
11335,603906,2018-07-04 21:00:00,50911,1.0,50841,21,0.029186569869189768
11333,604900H,2018-07-04 21:00:00,50266,1.0,50266,21,6.866044481497218
11329,604903H,2018-07-04 21:00:00,50266,1.0,50266,21,7.095516406241728e-05
11429,604832H,2018-07-04 21:00:00,51199,1.0,50267,13,0.015239537734764571
11135,605432,2018-07-04 20:00:00,50692,3.0,50692,20,25.358148179111062
11147,519392,2018-07-04 18:00:00,50675,1.0,50675,18,0.06268948798847306
11134,604800H,2018-07-04 21:00:00,50911,2.0,50911,20,22.777432286419536
11129,603906,2018-07-04 21:00:00,50240,1.0,50841,21,0.02997475384404779
11125,604903H,2018-07-04 21:00:00,50266,1.0,50266,21,0.039378641005353064
11233,604832H,2018-07-04 13:00:00,50267,1.0,50267,13,15.247238717722922
11509,603522H,2018-07-04 00:00:00,50911,2.0,50911,0,-2.8154153393550563
11462,603522H,2018-07-04 22:00:00,50911,2.0,50911,11,-3.468078310961695
11150,605079H,2018-07-04 18:00:00,50692,2.0,50692,18,4.291277800936649
11146,601555,2018-07-04 19:00:00,51087,3.0,51087,19,0.07236852442051803
11404,603912,2018-07-04 18:00:00,50675,2.0,50349,14,0.010222771196519528
11331,603522H,2018-07-04 22:00:00,50911,1.0,50911,21,-2.4060607870812802
11468,601555,2018-07-04 10:00:00,51087,2.0,51087,10,0.05449272714182359
11171,603522H,2018-07-04 17:00:00,50911,1.0,50911,16,5.927868501354739e-06
11155,603522H,2018-07-04 23:00:00,50911,1.0,50911,17,-0.003714286727282433
11281,605079H,2018-07-04 20:00:00,50840,1.0,50692,9,0.09301851905438885
11371,518475,2018-07-04 00:00:00,50911,2.0,50911,17,-0.002082057562767901
11359,607613,2018-07-04 22:00:00,50692,2.0,50692,18,2.173913043478261e-05
11251,604730H,2018-07-04 17:00:00,50841,2.0,50263,12,0.10043048333612116
11230,605084H,2018-07-04 00:00:00,50911,2.0,50911,13,20.563301781765475
