requestID,userID,datetime,locationID,chargingLen,originLocationID,originHour,x_value
11849,604738H,2018-07-03 00:00:00,50268,1.0,50268,0,1.3043478260869566e-05
11843,606177,2018-07-03 00:00:00,50911,1.0,50911,0,-0.01304347826086959
11842,606177,2018-07-03 00:00:00,50911,2.0,50911,0,-0.01304347826086959
11847,605083H,2018-07-03 00:00:00,50911,1.0,50911,0,0.008695652173913049
11702,607289,2018-07-03 01:00:00,50349,2.0,50349,1,0.013377926421404692
11700,607263,2018-07-03 01:00:00,50349,3.0,50349,1,3.25e-05
11699,607289,2018-07-03 01:00:00,50269,3.0,50269,1,0.013377926421404692
11697,607263,2018-07-03 02:00:00,50349,1.0,50349,2,3.25e-05
12011,604738H,2018-07-03 03:00:00,50268,2.0,50268,3,1.3043478260869566e-05
11823,604735H,2018-07-03 03:00:00,50268,2.0,50268,3,8.108108108108092e-06
11822,518009,2018-07-03 03:00:00,50911,2.0,50911,3,-0.02558528428093651
11821,607224,2018-07-03 03:00:00,50911,1.0,50911,3,0.01304347826086959
11817,607289,2018-07-03 04:00:00,50269,2.0,50269,4,0.013377926421404692
12008,607289,2018-07-03 05:00:00,50269,3.0,50269,5,0.013377926421404692
12007,607263,2018-07-03 02:00:00,50349,3.0,50349,5,3.25e-05
12000,601555,2018-07-03 07:00:00,50911,2.0,50911,7,-0.0014992503748126064
11689,603902,2018-07-03 07:00:00,50338,1.0,50338,7,3.461538461538469e-05
11684,607855,2018-07-03 08:00:00,50911,2.0,50911,8,3.478260869565218e-05
11994,604771H,2018-07-03 09:00:00,50240,2.0,50240,9,0.0
11801,605079H,2018-07-03 09:00:00,50692,1.0,50692,9,0.00016406890894175597
11800,519287,2018-07-03 09:00:00,50911,2.0,50911,9,-1.3043478260869566e-05
11799,605079H,2018-07-03 09:00:00,50692,2.0,50692,9,0.00016406890894175597
11682,604329,2018-07-03 13:00:00,50911,4.0,50911,9,0.0
11677,604804H,2018-07-03 09:00:00,50230,1.0,50230,9,0.0
11988,605079H,2018-07-03 10:00:00,50692,2.0,50692,10,0.00016406890894175597
11793,602859,2018-07-03 11:00:00,51087,2.0,51087,10,0.00031199307901797434
11795,600963,2018-07-03 10:00:00,50911,2.0,50911,10,2.395639046023421
11794,602859,2018-07-03 11:00:00,51087,3.0,51087,10,5.194627432953968
11797,607083,2018-07-03 11:00:00,50349,1.0,50349,10,6.08695652173913e-05
11657,601535,2018-07-03 10:00:00,50692,1.0,50692,10,1.739130434782609e-05
11653,604728H,2018-07-03 15:00:00,51198,1.0,51199,10,2.0512820512820596e-05
11973,600963,2018-07-03 11:00:00,50911,1.0,50911,11,10.780375707105396
11972,607613,2018-07-03 11:00:00,50692,2.0,50692,11,-8.695652173913044e-06
11788,604761H,2018-07-03 11:00:00,50349,2.0,50349,11,1.3043478260869591e-05
11640,604772H,2018-07-03 11:00:00,50269,2.0,51200,11,3.571428571428592e-06
11647,605432,2018-07-03 20:00:00,50911,4.0,50911,11,0.01372997711670482
11959,604903H,2018-07-03 12:00:00,50266,1.0,50266,12,0.0
11634,604775H,2018-07-03 17:00:00,50263,3.0,50263,12,1.3043478260869566e-05
11633,604902H,2018-07-03 12:00:00,50261,1.0,50261,12,0.0
11626,604804H,2018-07-03 12:00:00,50230,2.0,50230,12,0.0
11623,607626,2018-07-03 07:00:00,50911,1.0,50911,12,4.7619047619047895e-06
11951,604796H,2018-07-03 13:00:00,50267,1.0,50267,13,3.91304347826087e-05
11774,604832H,2018-07-03 13:00:00,50267,2.0,50267,13,3.478260869565218e-05
11768,604380H,2018-07-03 19:00:00,50911,2.0,50911,13,0.0
11772,607263,2018-07-03 02:00:00,50349,3.0,50349,13,3.25e-05
11618,607289,2018-07-03 11:00:00,50269,3.0,50269,13,0.013377926421404692
11608,604738H,2018-07-03 03:00:00,50268,2.0,50268,13,1.3043478260869566e-05
11621,604761H,2018-07-03 13:00:00,50349,1.0,50349,13,1.3043478260869591e-05
11619,604832H,2018-07-03 14:00:00,50267,1.0,50267,13,3.478260869565218e-05
11616,604739H,2018-07-03 14:00:00,51199,2.0,51199,13,0.003864734299516921
11614,606789,2018-07-03 13:00:00,50269,2.0,50269,13,-0.0032983508245877126
11937,605074H,2018-07-03 21:00:00,50911,1.0,50911,14,4.782608695652174e-05
11765,602814,2018-07-03 14:00:00,50269,4.0,50269,14,-8.891943798394722
11596,607855,2018-07-03 16:00:00,50911,2.0,50911,14,3.478260869565218e-05
11599,604749H,2018-07-03 12:00:00,51198,2.0,51200,14,-0.0015478339336195868
11593,604771H,2018-07-03 14:00:00,50240,1.0,50240,14,0.0
11600,600963,2018-07-03 14:00:00,51087,2.0,51087,14,10.780375707105396
11606,604726H,2018-07-03 15:00:00,51199,2.0,51198,14,2.4999999999999998e-05
11928,605079H,2018-07-03 15:00:00,50692,2.0,50692,15,0.00016406890894175597
11759,605074H,2018-07-03 21:00:00,50911,1.0,50911,15,4.782608695652174e-05
11758,606363,2018-07-03 18:00:00,50909,3.0,50909,15,0.005797101449275373
11591,604758H,2018-07-03 16:00:00,50263,2.0,50263,15,0.00037115588547191207
11919,604771H,2018-07-03 11:00:00,50240,1.0,50240,16,0.0
11926,606363,2018-07-03 21:00:00,51087,3.0,51087,16,0.005797101449275373
11924,603990,2018-07-03 17:00:00,50911,2.0,50911,16,3.478260869565218e-05
11742,604620H,2018-07-03 16:00:00,50349,2.0,50349,16,-0.008695652173913085
11746,604380H,2018-07-03 21:00:00,50911,2.0,50911,16,1.3043478260869566e-05
11580,603912,2018-07-03 18:00:00,50349,2.0,50349,16,8.04347826086957e-05
11571,V009198,2018-07-03 00:00:00,51087,2.0,51087,16,-17.44660223694137
11569,604899H,2018-07-03 07:00:00,50338,1.0,50338,16,1.4492753623188914e-06
11911,607706,2018-07-03 04:00:00,50911,1.0,50911,17,0.003478260869565217
11913,606620,2018-07-03 18:00:00,50911,1.0,50911,17,-4.103974060797564
11561,604730H,2018-07-03 17:00:00,50263,1.0,50263,17,0.0004576659038901645
11556,518475,2018-07-03 22:00:00,50911,2.0,50911,17,-15.996137902672666
11554,605073H,2018-07-03 12:00:00,50911,2.0,50911,17,-3.0434782608695656e-05
11555,604760H,2018-07-03 16:00:00,50240,1.0,50240,17,0.0
11900,605235,2018-07-03 17:00:00,50349,2.0,50692,18,0.05044560418224186
11895,605432,2018-07-03 22:00:00,50911,2.0,50692,19,0.01556064073226546
11888,604380H,2018-07-03 00:00:00,50911,2.0,50911,19,-8.260869565217392e-05
11887,520263,2018-07-03 11:00:00,50909,1.0,50909,19,-0.0016722408026756052
11538,603522H,2018-07-03 00:00:00,50911,2.0,50911,19,-8.695652173913044e-05
11534,603522H,2018-07-03 00:00:00,50911,2.0,50911,19,-8.695652173913044e-05
11531,607224,2018-07-03 23:00:00,50911,1.0,50911,19,0.01304347826086959
11880,604380H,2018-07-03 00:00:00,50911,2.0,50911,20,-8.260869565217392e-05
11528,519392,2018-07-03 00:00:00,51087,2.0,51087,20,-6.947353233467962
11530,607224,2018-07-03 00:00:00,50911,3.0,50911,20,-22.63221685142637
11527,519392,2018-07-03 00:00:00,50911,2.0,50911,20,-6.947353233467962
11873,519392,2018-07-03 21:00:00,50909,1.0,50909,21,0.001159420289855078
11870,605074H,2018-07-03 01:00:00,50911,2.0,50911,21,-3.91304347826087e-05
11877,604175,2018-07-03 01:00:00,50911,3.0,50911,21,4.81481481481482e-05
11871,607263,2018-07-03 02:00:00,50349,2.0,50349,21,3.25e-05
11722,604380H,2018-07-03 01:00:00,50911,3.0,50911,21,-7.82608695652174e-05
11720,604796H,2018-07-03 21:00:00,50267,2.0,50267,21,3.91304347826087e-05
11718,605235,2018-07-03 00:00:00,51087,2.0,51087,21,-4.386574276716683
11522,518475,2018-07-03 02:00:00,50911,3.0,50911,21,-15.996137902672666
11521,604773H,2018-07-03 21:00:00,50841,1.0,50841,21,0.0
