requestID,userID,datetime,locationID,chargingLen,score,incentive,originLocationID,originHour
11900,605235,2018-07-03 18:00:00,50349,2.0,0.2969751631233109,1,50692,18
11895,605432,2018-07-03 06:00:00,50911,2.0,0.17338666764011995,1,50692,19
11888,604380H,2018-07-03 08:00:00,50349,2.0,0.19053191622447016,1,50911,19
11887,520263,2018-07-03 06:00:00,50349,1.0,0.16323986329750712,1,50909,19
11880,604380H,2018-07-03 10:00:00,50349,2.0,0.13582657281200544,1,50911,20
11858,605074H,2018-07-03 18:00:00,50269,2.0,0.2843972114371349,3,50911,23
11873,519392,2018-07-03 10:00:00,50269,1.0,0.16377755410008357,2,50909,21
11870,605074H,2018-07-03 06:00:00,50269,2.0,0.14334276431807116,1,50911,21
11869,604380H,2018-07-03 07:00:00,50349,1.0,0.14206268299859867,1,50911,22
11863,605083H,2018-07-03 12:00:00,50269,1.0,0.1477233377489745,1,50911,22
11853,604380H,2018-07-03 12:00:00,50349,1.0,0.14456004992251373,1,50911,23
11911,607706,2018-07-03 20:00:00,50269,1.0,0.11451067119654129,1,50911,17
11877,604175,2018-07-03 20:00:00,50349,3.0,0.18670548601959847,1,50911,21
11871,607263,2018-07-03 14:00:00,50349,2.0,0.171977720062472,1,50349,21
11919,604771H,2018-07-03 09:00:00,50269,1.0,0.18761699245565572,1,50240,16
11913,606620,2018-07-03 16:00:00,50349,1.0,0.1728549798473238,1,50911,17
12008,607289,2018-07-03 16:00:00,50269,3.0,0.13274830758815293,1,50269,5
12007,607263,2018-07-03 13:00:00,50349,3.0,0.1702351385695654,1,50349,5
12000,601555,2018-07-03 18:00:00,50268,2.0,0.30932977323918787,10,50911,7
11994,604771H,2018-07-03 18:00:00,50263,2.0,0.3781266074056189,6,50240,9
11988,605079H,2018-07-03 10:00:00,50263,2.0,0.21584403633637728,3,50692,10
11973,600963,2018-07-03 16:00:00,50263,1.0,0.12896692982560837,1,50911,11
12011,604738H,2018-07-03 20:00:00,50263,2.0,0.19734787421870437,1,50268,3
11959,604903H,2018-07-03 15:00:00,50263,1.0,0.20613066848630543,1,50266,12
11951,604796H,2018-07-03 18:00:00,50267,1.0,0.38979864820096743,7,50267,13
11937,605074H,2018-07-03 10:00:00,50267,1.0,0.28905573831410275,4,50911,14
11928,605079H,2018-07-03 08:00:00,50267,2.0,0.25940305186954765,2,50692,15
11926,606363,2018-07-03 19:00:00,50267,3.0,0.1972752595240943,1,51087,16
11924,603990,2018-07-03 16:00:00,50267,2.0,0.17245741654629554,1,50911,16
11972,607613,2018-07-03 18:00:00,51200,2.0,0.4395699176473349,10,50692,11
11774,604832H,2018-07-03 18:00:00,50675,2.0,0.46826315329005264,10,50267,13
11768,604380H,2018-07-03 21:00:00,50911,2.0,0.06590105405525128,1,50911,13
11765,602814,2018-07-03 10:00:00,50841,4.0,0.30668615050240433,8,50269,14
11759,605074H,2018-07-03 19:00:00,50841,1.0,0.31567360770774117,4,50911,15
11758,606363,2018-07-03 18:00:00,50841,3.0,0.2631944444444444,2,50909,15
11722,604380H,2018-07-03 08:00:00,50841,3.0,0.19166666666666665,1,50911,21
11742,604620H,2018-07-03 16:00:00,50841,2.0,0.18125,1,50349,16
11720,604796H,2018-07-03 07:00:00,50841,2.0,0.24526240012718675,1,50267,21
11718,605235,2018-07-03 08:00:00,51199,2.0,0.3256224456879519,8,51087,21
11712,603548,2018-07-03 10:00:00,51199,3.0,0.28722916142548677,4,50911,22
11788,604761H,2018-07-03 18:00:00,51199,2.0,0.26736111111111105,2,50349,11
11746,604380H,2018-07-03 16:00:00,51199,2.0,0.19007872720452945,1,50911,16
11793,602859,2018-07-03 18:00:00,51199,2.0,0.16731112539274484,1,51087,10
11772,607263,2018-07-03 15:00:00,51199,3.0,0.15553432871567605,1,50349,13
11795,600963,2018-07-03 10:00:00,50266,2.0,0.3726979346378465,10,50911,10
11794,602859,2018-07-03 18:00:00,50338,3.0,0.4770714998621679,10,51087,10
11849,604738H,2018-07-03 18:00:00,50261,1.0,0.5052803105701688,10,50268,0
11843,606177,2018-07-03 10:00:00,50268,1.0,0.42491593296601404,9,50911,0
11842,606177,2018-07-03 10:00:00,51198,2.0,0.4206141928819071,8,50911,0
11823,604735H,2018-07-03 16:00:00,51198,2.0,0.35701707405184907,4,50268,3
11822,518009,2018-07-03 12:00:00,51198,2.0,0.2113333183447741,2,50911,3
11847,605083H,2018-07-03 09:00:00,51198,1.0,0.2003152045657863,1,50911,0
11817,607289,2018-07-03 20:00:00,51198,2.0,0.14211309523809523,1,50269,4
11801,605079H,2018-07-03 10:00:00,50692,1.0,0.48160117795603546,10,50692,9
11800,519287,2018-07-03 08:00:00,50240,2.0,0.38645580155505677,8,50911,9
11799,605079H,2018-07-03 19:00:00,50240,2.0,0.32102777028955,4,50692,9
11797,607083,2018-07-03 11:00:00,50240,1.0,0.17113188583065392,2,50349,10
11821,607224,2018-07-03 07:00:00,50240,1.0,0.19408636715755215,1,50911,3
11561,604730H,2018-07-03 13:00:00,50240,1.0,0.16592027120359648,1,50263,17
11596,607855,2018-07-03 10:00:00,50338,2.0,0.5355891872265661,10,50911,14
11599,604749H,2018-07-03 08:00:00,50338,2.0,0.43238511352695014,4,51200,14
11593,604771H,2018-07-03 17:00:00,50240,1.0,0.08642208080673323,1,50240,14
11591,604758H,2018-07-03 10:00:00,50261,2.0,0.5808887992343205,10,50263,15
11580,603912,2018-07-03 10:00:00,50230,2.0,0.4972066244929764,10,50349,16
11571,V009198,2018-07-03 10:00:00,51200,2.0,0.5346224798290222,10,51087,16
11569,604899H,2018-07-03 08:00:00,51200,1.0,0.45384688851877864,1,50338,16
11556,518475,2018-07-03 16:00:00,50675,2.0,0.3879890055146928,10,50911,17
11528,519392,2018-07-03 12:00:00,50675,2.0,0.2480029410811854,4,51087,20
11554,605073H,2018-07-03 09:00:00,50261,2.0,0.39228490927353443,8,50911,17
11538,603522H,2018-07-03 08:00:00,50230,2.0,0.4167752040777396,10,50911,19
11534,603522H,2018-07-03 16:00:00,50230,2.0,0.29401126959137663,1,50911,19
11531,607224,2018-07-03 09:00:00,50840,1.0,0.49803293230694984,10,50911,19
11530,607224,2018-07-03 10:00:00,50840,3.0,0.3770833333333333,10,50911,20
11527,519392,2018-07-03 12:00:00,50909,2.0,0.4296123745372338,10,50911,20
11522,518475,2018-07-03 18:00:00,50909,3.0,0.4026019022690641,10,50911,21
11521,604773H,2018-07-03 09:00:00,50266,1.0,0.5377021113891729,10,50841,21
11518,604900H,2018-07-03 08:00:00,50909,2.0,0.4926367482960445,8,50266,21
11555,604760H,2018-07-03 09:00:00,51087,1.0,0.48788072777774244,8,50240,17
11600,600963,2018-07-03 13:00:00,51087,2.0,0.2653933251475499,4,51087,14
11618,607289,2018-07-03 21:00:00,51087,3.0,0.0763217295601747,2,50269,13
11608,604738H,2018-07-03 06:00:00,51087,2.0,0.14027777777777778,1,50268,13
11606,604726H,2018-07-03 08:00:00,50266,2.0,0.5313939921965095,10,51198,14
11702,607289,2018-07-03 19:00:00,50266,2.0,0.2445833333333333,2,50349,1
11700,607263,2018-07-03 13:00:00,50840,3.0,0.2225,8,50349,1
11699,607289,2018-07-03 15:00:00,50692,3.0,0.2394858750734229,10,50269,1
11697,607263,2018-07-03 11:00:00,51087,1.0,0.26600330183705784,1,50349,2
11684,607855,2018-07-03 21:00:00,50692,2.0,0.13703855253799282,8,50911,8
11682,604329,2018-07-03 00:00:00,50911,4.0,0.0,1,50911,9
11677,604804H,2018-07-03 05:00:00,50911,1.0,0.0427277574339381,1,50230,9
11657,601535,2018-07-03 04:00:00,50911,1.0,0.03099137885042923,1,50692,10
11653,604728H,2018-07-03 23:00:00,50911,1.0,0.009285265757931283,1,51199,10
11689,603902,2018-07-03 01:00:00,50911,1.0,-0.09618933262100603,1,50338,7
11640,604772H,2018-07-03 20:00:00,50263,2.0,-1.0,1,51200,11
11634,604775H,2018-07-03 22:00:00,50269,3.0,-1.0,1,50263,12
11633,604902H,2018-07-03 20:00:00,50263,1.0,-1.0,1,50261,12
11626,604804H,2018-07-03 23:00:00,50263,2.0,-1.0,1,50230,12
11623,607626,2018-07-03 19:00:00,51200,1.0,-1.0,1,50911,12
