requestID,userID,datetime,locationID,chargingLen,score,incentive,originLocationID,originHour,threshold,personal,willingness
18866,606941,2018-07-01 12:00:00,51199,3.0,0.7958294106474704,6,51087,17,0.12936114718023006,0.18279583871096622,0.8609684003286509
18879,604897H,2018-07-01 12:00:00,50269,1.0,0.8840453940750032,3,51200,16,0.06357111005664387,0.32552326827353456,1.0
18863,604760H,2018-07-01 12:00:00,50267,1.0,0.7487855307131863,6,50240,17,0.08969831334518473,0.15792530213010073,0.7438281730327744
18873,V009198,2018-07-01 12:00:00,50841,2.0,0.6239600199958326,0,50911,17,0.037405806123923115,0.10668781204426861,0.5024995947285051
18876,604725H,2018-07-01 08:00:00,51199,2.0,0.5494830409236964,3,50261,16,0.10871378684414021,0.4418743103820479,1.0
18878,604738H,2018-07-01 08:00:00,50240,2.0,0.6321016161500647,0,50268,16,0.10863282551708582,0.5418975774131205,1.0
18881,604836H,2018-07-01 08:00:00,50267,2.0,0.7256185317566619,3,50269,16,0.10871593518807347,0.37496091960324907,1.0
18891,604749H,2018-07-01 08:00:00,50911,1.0,0.7077495626132461,0,51200,15,0.0722483205101586,0.3366767740145299,1.0
18884,604771H,2018-07-01 12:00:00,50841,2.0,0.6146530852596006,3,50240,16,0.07244576581505198,0.30612314354239917,1.0
18885,604739H,2018-07-01 08:00:00,50349,1.0,0.7652919404143257,1,51199,15,0.5121647391082904,0.3648547809553612,0.8209232571495628
18889,605077H,2018-07-01 09:00:00,50840,2.0,0.5215553292739303,0,51087,15,0.0,0.19066676557201007,0.9056671364670479
18861,605454,2018-07-01 08:00:00,50841,2.0,0.5,2,50692,18,0.14566614480729084,0.0,0.0
18895,604976,2018-07-01 09:00:00,50911,1.0,0.576025116464326,0,50911,15,0.2553373361888768,0.8119067222454005,1.0
18897,604728H,2018-07-01 09:00:00,50269,1.0,0.7158917636451483,0,51198,15,0.11195692091021212,0.29525680807669163,1.0
18958,604771H,2018-07-01 18:00:00,50267,2.0,0.49587266602906477,0,50240,11,0.2621389035992371,0.9995382581180898,1.0
18882,518475,2018-07-01 08:00:00,50338,3.0,0.8487262481989264,0,50911,16,0.2872856127755974,0.19990218905300428,0.9495353980017703
18858,506530,2018-07-01 12:00:00,50338,2.0,0.784020693344018,0,50909,18,0.2653040226793264,0.25748493276492546,1.0
18846,607289,2018-07-01 12:00:00,50840,3.0,0.4699057287889774,10,50911,20,0.0,0.0,0.0
18852,606909,2018-07-01 12:00:00,50268,3.0,0.8623770706481863,10,50692,19,0.32121043437747454,0.21798308254709692,1.0
18940,606102,2018-07-01 09:00:00,50841,3.0,0.45051765902456636,0,50911,12,0.2620634495483626,0.20364854625967388,0.4582092290842662
18941,604733H,2018-07-01 13:00:00,50240,1.0,0.5939396441323272,2,51200,12,0.2821540830356182,0.466388003760882,1.0
18944,604895H,2018-07-01 12:00:00,50230,2.0,0.8815013967089522,0,50338,12,0.34410369725591705,0.35385071743286534,1.0
18945,604804H,2018-07-01 13:00:00,50269,1.0,0.6764714144689181,1,50230,12,0.30697051797141983,0.6675609785945537,1.0
18948,604726H,2018-07-01 12:00:00,50675,2.0,0.9110969412208946,0,51199,12,0.6829478877102381,0.30383166176976734,1.0
