requestID,userID,datetime,locationID,chargingLen,score,incentive,originLocationID,originHour
11053,604745H,2018-07-05 18:00:00,50269,1.0,0.2906045532128674,0,51198,11
11051,604771H,2018-07-05 08:00:00,50911,1.0,0.2816745413780927,1,50240,11
11048,604904H,2018-07-05 08:00:00,51199,2.0,0.32737747707492226,0,51198,12
11036,604897H,2018-07-05 08:00:00,50349,2.0,0.3155959874890105,1,51200,12
11046,604749H,2018-07-05 12:00:00,51199,2.0,0.26066011804144823,0,51199,12
11041,603906,2018-07-05 12:00:00,50269,1.0,0.30953656378902833,0,50841,12
11039,604775H,2018-07-05 08:00:00,50267,1.0,0.3809218061457469,0,50263,12
11054,604902H,2018-07-05 08:00:00,50240,2.0,0.4010393939004608,0,50261,11
11035,604832H,2018-07-05 12:00:00,50267,1.0,0.33007759300286826,4,50267,12
11047,605642,2018-07-05 12:00:00,50841,2.0,0.30710528162676975,7,50911,12
11057,516399,2018-07-05 09:00:00,50840,1.0,0.20657833644946993,10,50909,11
11076,604752H,2018-07-05 09:00:00,50841,2.0,0.2788135904559198,4,51199,10
11061,604726H,2018-07-05 09:00:00,50267,1.0,0.3294859902405048,0,51200,11
11072,606941,2018-07-05 00:00:00,50840,2.0,0.0,10,50911,10
11074,604733H,2018-07-05 18:00:00,50267,2.0,0.32832271468018503,1,51200,10
11077,604733H,2018-07-05 12:00:00,50840,2.0,0.21607142857142855,4,51200,10
11080,604799H,2018-07-05 09:00:00,50269,2.0,0.35829753814528803,2,51199,10
11081,601555,2018-07-05 00:00:00,50911,2.0,0.008034674404525067,1,50911,9
11082,604749H,2018-07-05 18:00:00,50911,2.0,0.2657813356975201,1,51198,9
11084,601085,2018-07-05 10:00:00,50692,2.0,0.3032512958334296,0,50349,9
11086,604750H,2018-07-05 12:00:00,51198,3.0,0.42018190752052464,7,50230,9
11033,604761H,2018-07-05 13:00:00,50240,1.0,0.23570387304082846,4,50349,13
11087,604802H,2018-07-05 09:00:00,51198,1.0,0.3967788152552461,0,50269,9
11060,603522H,2018-07-05 08:00:00,50841,2.0,0.255,2,50911,11
11025,607507,2018-07-05 14:00:00,50692,2.0,0.2587622730894487,0,50911,13
10970,607856,2018-07-05 10:00:00,51198,2.0,0.25876854960841195,2,50911,16
11013,604802H,2018-07-05 09:00:00,50911,1.0,0.4105484408582073,1,50269,14
11090,604804H,2018-07-05 13:00:00,50269,2.0,0.33962858795582657,0,50230,9
11104,604899H,2018-07-05 10:00:00,51199,2.0,0.39557388531934795,0,50338,7
10912,605432,2018-07-05 13:00:00,50267,3.0,0.23889023017557537,0,50911,22
10924,604800H,2018-07-05 14:00:00,50841,3.0,0.225,1,50911,21
10930,607263,2018-07-05 06:00:00,50911,3.0,0.10782776606591585,1,50911,20
10933,601897,2018-07-05 10:00:00,50263,2.0,0.43863806972732,0,50349,20
10936,600963,2018-07-05 18:00:00,50263,2.0,0.3045869628312772,0,50911,20
10940,607263,2018-07-05 19:00:00,50240,2.0,0.260484537184633,0,50911,19
10944,601535,2018-07-05 16:00:00,50692,2.0,0.22971437309717974,4,50692,18
10949,604732H,2018-07-05 09:00:00,51087,1.0,0.4785472927354199,7,50268,18
10958,607795,2018-07-05 07:00:00,50261,3.0,0.1375,10,50349,17
11023,604748H,2018-07-05 13:00:00,51087,2.0,0.39626383504909124,4,51087,13
10966,604902H,2018-07-05 10:00:00,50841,3.0,0.31492229701125524,1,50261,16
10968,603902,2018-07-05 14:00:00,51199,3.0,0.357194679563976,1,50269,16
10976,604771H,2018-07-05 15:00:00,50263,2.0,0.27387751555728745,2,50240,16
10977,605079H,2018-07-05 15:00:00,51087,1.0,0.23550410974237646,2,50692,16
10989,604738H,2018-07-05 15:00:00,51198,1.0,0.35716177382578673,0,50268,15
10993,604732H,2018-07-05 19:00:00,50269,2.0,0.2539697058832425,0,50268,15
10994,604726H,2018-07-05 09:00:00,50230,2.0,0.5552345857811644,0,51199,15
11002,604895H,2018-07-05 18:00:00,51199,2.0,0.25,0,50267,14
11003,604899H,2018-07-05 16:00:00,50269,1.0,0.3128688825711358,0,50338,14
11005,604749H,2018-07-05 09:00:00,50338,1.0,0.5992534073363702,10,51199,14
11006,606102,2018-07-05 09:00:00,51200,2.0,0.541533890658085,0,50692,14
11008,604728H,2018-07-05 14:00:00,51200,2.0,0.4628758296316104,10,51198,14
10967,V009198,2018-07-05 14:00:00,50261,1.0,0.4195534935751813,10,50911,16
11095,518622,2018-07-05 10:00:00,50261,1.0,0.5592269514489626,7,50675,8
10891,605079H,2018-07-05 12:00:00,50268,1.0,0.46004970503876635,10,50692,7
10895,605931,2018-07-05 08:00:00,51200,2.0,0.4382058892966874,7,50349,6
10819,604761H,2018-07-05 09:00:00,50268,1.0,0.5827647070829417,0,50349,13
10815,604796H,2018-07-05 08:00:00,50338,1.0,0.5019341558131503,0,50267,13
10808,605073H,2018-07-05 12:00:00,50338,2.0,0.4562203090998381,7,50911,13
10804,607855,2018-07-05 10:00:00,50266,2.0,0.5432562451405507,10,50911,14
10795,604804H,2018-07-05 00:00:00,50909,1.0,0.02013164855409813,10,50230,14
10789,604727H,2018-07-05 13:00:00,50909,1.0,0.4631576857984465,10,50261,15
10787,607613,2018-07-05 21:00:00,50909,1.0,0.08757702396096141,7,50692,15
10773,604903H,2018-07-05 16:00:00,51198,1.0,0.35396113238059784,1,50266,16
10765,604726H,2018-07-05 08:00:00,50349,1.0,0.21740390990677355,1,51199,16
10762,603680,2018-07-05 13:00:00,50675,2.0,0.5144758646113294,0,50349,16
10753,604895H,2018-07-05 10:00:00,50268,1.0,0.5356139599734953,7,50263,18
10744,603522H,2018-07-05 14:00:00,50230,2.0,0.4541261720927543,10,50911,19
10738,520263,2018-07-05 12:00:00,50230,3.0,0.5085102256708233,0,50909,19
10733,605235,2018-07-05 12:00:00,50675,1.0,0.42246394464279924,0,51087,20
10732,604734H,2018-07-05 16:00:00,50675,3.0,0.36616005756699865,4,50268,20
10729,601535,2018-07-05 13:00:00,50266,1.0,0.43248478745649943,0,50692,21
10724,601897,2018-07-05 20:00:00,50263,3.0,0.18565243796758532,0,50349,21
10723,607289,2018-07-05 20:00:00,50911,1.0,0.225598052027605,0,50269,21
10722,604773H,2018-07-05 07:00:00,50349,2.0,0.24108313861366748,0,50841,21
10721,518009,2018-07-05 12:00:00,50266,1.0,0.44872212657404514,0,50911,21
10719,604832H,2018-07-05 07:00:00,50240,1.0,0.2527434267171352,0,50267,21
10717,518009,2018-07-05 07:00:00,51087,1.0,0.19490019998421515,1,50911,21
10897,605931,2018-07-05 07:00:00,50349,1.0,0.22371882310906407,1,50349,5
10821,604749H,2018-07-05 07:00:00,50269,1.0,0.31450115008407226,1,51200,13
10823,604900H,2018-07-05 11:00:00,50911,1.0,0.20264006363745046,1,50266,13
10774,601555,2018-07-05 06:00:00,50349,2.0,0.12271593377162207,0,50909,16
10829,604771H,2018-07-05 11:00:00,51087,1.0,0.26589938179061373,1,50240,12
