requestID,userID,datetime,locationID,chargingLen,originLocationID,originHour
13092,604732H,2018-07-01 00:00:00,50911,3.0,50268,23
18861,605454,2018-07-01 22:00:00,50841,2.0,50692,18
18851,607224,2018-07-01 22:00:00,50269,2.0,50911,19
18840,519392,2018-07-01 21:00:00,50263,2.0,50911,21
18849,604900H,2018-07-01 21:00:00,50349,2.0,50266,20
18977,604773H,2018-07-01 21:00:00,50909,2.0,50841,10
18926,604900H,2018-07-01 21:00:00,50266,2.0,50266,13
13206,603906,2018-07-01 21:00:00,50675,2.0,50841,10
13180,604832H,2018-07-01 21:00:00,50338,2.0,50267,12
13113,519392,2018-07-01 21:00:00,50268,2.0,51087,21
13111,519392,2018-07-01 21:00:00,50911,2.0,51087,21
13125,519392,2018-07-01 21:00:00,50841,2.0,51087,19
18949,604903H,2018-07-01 21:00:00,50269,1.0,50266,12
18845,604773H,2018-07-01 21:00:00,50263,1.0,50841,21
18951,604832H,2018-07-01 21:00:00,50349,1.0,50267,12
13181,604903H,2018-07-01 21:00:00,50909,1.0,50266,12
13109,603906,2018-07-01 21:00:00,50266,1.0,50841,21
13105,604903H,2018-07-01 21:00:00,50675,1.0,50266,21
18990,604380H,2018-07-01 19:00:00,50338,2.0,50911,10
13227,605432,2018-07-01 19:00:00,50268,2.0,50911,4
13126,604380H,2018-07-01 19:00:00,50911,2.0,50911,19
13140,603912,2018-07-01 18:00:00,50841,3.0,50911,17
13097,604380H,2018-07-01 19:00:00,50269,2.0,50911,22
18882,518475,2018-07-01 17:00:00,50263,3.0,50911,16
18929,604380H,2018-07-01 21:00:00,50349,1.0,50911,13
13231,605432,2018-07-01 19:00:00,50909,1.0,50911,3
13128,603912,2018-07-01 18:00:00,50266,2.0,51087,19
18873,V009198,2018-07-01 17:00:00,50675,2.0,50911,17
19016,518475,2018-07-01 17:00:00,50338,2.0,50911,7
13221,601555,2018-07-01 18:00:00,50268,1.0,50911,8
18852,606909,2018-07-01 16:00:00,50911,3.0,50692,19
18933,604730H,2018-07-01 17:00:00,50841,1.0,50263,13
13161,517866,2018-07-01 16:00:00,50269,2.0,51087,14
18866,606941,2018-07-01 14:00:00,50263,3.0,51087,17
18863,604760H,2018-07-01 21:00:00,50349,1.0,50240,17
18972,604752H,2018-07-01 15:00:00,50909,2.0,51200,11
18918,604758H,2018-07-01 15:00:00,50266,2.0,50263,13
13214,606941,2018-07-01 14:00:00,50675,3.0,51087,9
13216,606941,2018-07-01 14:00:00,50338,3.0,51087,9
13173,607855,2018-07-01 16:00:00,50268,1.0,50911,13
18879,604897H,2018-07-01 17:00:00,50911,1.0,51200,16
18881,604836H,2018-07-01 14:00:00,50841,2.0,50269,16
18897,604728H,2018-07-01 15:00:00,50269,1.0,51198,15
18957,604728H,2018-07-01 15:00:00,50263,1.0,51198,11
18983,604897H,2018-07-01 21:00:00,50349,1.0,51198,10
18988,600108,2018-07-01 13:00:00,50909,3.0,50269,10
18930,604802H,2018-07-01 17:00:00,50266,2.0,50269,13
13217,606941,2018-07-01 14:00:00,50675,2.0,51087,9
13202,606260,2018-07-01 13:00:00,50338,3.0,50911,10
18891,604749H,2018-07-01 14:00:00,50268,1.0,51200,15
18858,506530,2018-07-01 13:00:00,50911,2.0,50909,18
18986,600108,2018-07-01 13:00:00,50841,2.0,50269,10
18987,600108,2018-07-01 13:00:00,50269,2.0,50269,10
18903,604904H,2018-07-01 16:00:00,50263,1.0,51199,15
18924,606523,2018-07-01 21:00:00,50349,2.0,50911,13
18876,604725H,2018-07-01 12:00:00,50909,2.0,50261,16
18921,604761H,2018-07-01 13:00:00,50266,1.0,50349,13
18900,604804H,2018-07-01 12:00:00,50675,2.0,50230,15
18904,604902H,2018-07-01 12:00:00,50338,2.0,50261,15
13199,607696,2018-07-01 11:00:00,50268,3.0,50263,11
18884,604771H,2018-07-01 18:00:00,50911,2.0,50240,16
18958,604771H,2018-07-01 11:00:00,50841,2.0,50240,11
18941,604733H,2018-07-01 12:00:00,50269,1.0,51200,12
18945,604804H,2018-07-01 12:00:00,50263,1.0,50230,12
18948,604726H,2018-07-01 22:00:00,50349,2.0,51199,12
18836,607688,2018-07-01 10:00:00,50909,3.0,51087,23
18909,604733H,2018-07-01 12:00:00,50266,1.0,51198,14
