requestID,userID,datetime,locationID,chargingLen,originLocationID,originHour
10897,605931,2018-07-05 01:00:00,50349,1.0,50349,5
10895,605931,2018-07-05 01:00:00,50349,2.0,50349,6
11104,604899H,2018-07-05 07:00:00,50338,2.0,50338,7
10891,605079H,2018-07-05 14:00:00,50692,1.0,50692,7
10892,604899H,2018-07-05 07:00:00,50338,2.0,50338,7
10890,518475,2018-07-05 17:00:00,50911,2.0,50911,7
11095,518622,2018-07-05 11:00:00,50675,1.0,50675,8
11081,601555,2018-07-05 08:00:00,50911,2.0,50911,9
11082,604749H,2018-07-05 14:00:00,51199,2.0,51198,9
11084,601085,2018-07-05 09:00:00,50909,2.0,50349,9
11086,604750H,2018-07-05 09:00:00,50230,3.0,50230,9
11087,604802H,2018-07-05 14:00:00,50269,1.0,50269,9
11090,604804H,2018-07-05 19:00:00,50230,2.0,50230,9
10877,606850,2018-07-05 21:00:00,50349,3.0,50349,9
10875,604804H,2018-07-05 12:00:00,50230,1.0,50230,9
10873,604726H,2018-07-05 15:00:00,51199,1.0,51199,9
10871,604727H,2018-07-05 10:00:00,50261,1.0,50261,9
10878,518475,2018-07-05 17:00:00,50911,2.0,50911,9
11076,604752H,2018-07-05 15:00:00,51199,2.0,51199,10
11072,606941,2018-07-05 14:00:00,50911,2.0,50911,10
11074,604733H,2018-07-05 15:00:00,51198,2.0,51200,10
11077,604733H,2018-07-05 10:00:00,51199,2.0,51200,10
11080,604799H,2018-07-05 10:00:00,51198,2.0,51199,10
10866,604749H,2018-07-05 09:00:00,50268,3.0,51199,10
10865,604749H,2018-07-05 11:00:00,51199,1.0,51199,10
10864,600963,2018-07-05 00:00:00,50911,2.0,50911,10
10861,604897H,2018-07-05 13:00:00,51200,1.0,51200,10
10859,604899H,2018-07-05 07:00:00,50338,1.0,50338,10
10857,518475,2018-07-05 17:00:00,50911,1.0,50911,10
11053,604745H,2018-07-05 15:00:00,51200,1.0,51198,11
11051,604771H,2018-07-05 11:00:00,50240,1.0,50240,11
11054,604902H,2018-07-05 12:00:00,50261,2.0,50261,11
11057,516399,2018-07-05 12:00:00,50909,1.0,50909,11
11061,604726H,2018-07-05 12:00:00,51200,1.0,51200,11
11060,603522H,2018-07-05 20:00:00,50911,2.0,50911,11
10849,605079H,2018-07-05 15:00:00,50692,1.0,50692,11
10845,607289,2018-07-05 04:00:00,50269,3.0,50269,11
10847,607856,2018-07-05 00:00:00,50909,1.0,50911,11
10848,604738H,2018-07-05 00:00:00,50268,2.0,50268,11
10844,603902,2018-07-05 11:00:00,50269,3.0,50269,11
11048,604904H,2018-07-05 10:00:00,51200,2.0,51198,12
11036,604897H,2018-07-05 11:00:00,51200,2.0,51200,12
11046,604749H,2018-07-05 09:00:00,50268,2.0,51199,12
11041,603906,2018-07-05 21:00:00,50841,1.0,50841,12
11039,604775H,2018-07-05 10:00:00,50263,1.0,50263,12
11035,604832H,2018-07-05 13:00:00,50267,1.0,50267,12
11047,605642,2018-07-05 21:00:00,50911,2.0,50911,12
10829,604771H,2018-07-05 11:00:00,50240,1.0,50240,12
10830,604903H,2018-07-05 21:00:00,50266,2.0,50266,12
10835,604804H,2018-07-05 12:00:00,50230,1.0,50230,12
10838,604773H,2018-07-05 21:00:00,50841,2.0,50841,12
10841,604730H,2018-07-05 17:00:00,50263,1.0,50263,12
10832,605432,2018-07-05 05:00:00,50692,3.0,50692,12
11033,604761H,2018-07-05 13:00:00,50911,1.0,50349,13
11025,607507,2018-07-05 01:00:00,50911,2.0,50911,13
11023,604748H,2018-07-05 14:00:00,51087,2.0,51087,13
10819,604761H,2018-07-05 08:00:00,50349,1.0,50349,13
10815,604796H,2018-07-05 12:00:00,50267,1.0,50267,13
10808,605073H,2018-07-05 19:00:00,50911,2.0,50911,13
10821,604749H,2018-07-05 14:00:00,51199,1.0,51200,13
10823,604900H,2018-07-05 13:00:00,50266,1.0,50266,13
10825,604904H,2018-07-05 10:00:00,51200,1.0,51199,13
11013,604802H,2018-07-05 14:00:00,50269,1.0,50269,14
11002,604895H,2018-07-05 07:00:00,50338,2.0,50267,14
11003,604899H,2018-07-05 07:00:00,50338,1.0,50338,14
11005,604749H,2018-07-05 13:00:00,51200,1.0,51199,14
11006,606102,2018-07-05 12:00:00,50692,2.0,50692,14
11008,604728H,2018-07-05 12:00:00,51198,2.0,51198,14
10804,607855,2018-07-05 08:00:00,50911,2.0,50911,14
10795,604804H,2018-07-05 12:00:00,50230,1.0,50230,14
10989,604738H,2018-07-05 00:00:00,50268,1.0,50268,15
10993,604732H,2018-07-05 16:00:00,50268,2.0,50268,15
10994,604726H,2018-07-05 12:00:00,51200,2.0,51199,15
10789,604727H,2018-07-05 10:00:00,50261,1.0,50261,15
10787,607613,2018-07-05 17:00:00,50692,1.0,50692,15
10970,607856,2018-07-05 00:00:00,50909,2.0,50911,16
10966,604902H,2018-07-05 12:00:00,50261,3.0,50261,16
10968,603902,2018-07-05 11:00:00,50269,3.0,50269,16
10976,604771H,2018-07-05 11:00:00,50240,2.0,50240,16
10977,605079H,2018-07-05 15:00:00,50692,1.0,50692,16
10967,V009198,2018-07-05 16:00:00,50911,1.0,50911,16
10773,604903H,2018-07-05 21:00:00,50266,1.0,50266,16
10765,604726H,2018-07-05 12:00:00,51200,1.0,51199,16
10762,603680,2018-07-05 00:00:00,50349,2.0,50349,16
10774,601555,2018-07-05 22:00:00,50911,2.0,50909,16
10958,607795,2018-07-05 13:00:00,50909,3.0,50349,17
10944,601535,2018-07-05 21:00:00,50692,2.0,50692,18
10949,604732H,2018-07-05 23:00:00,50268,1.0,50268,18
10753,604895H,2018-07-05 07:00:00,50338,1.0,50263,18
10940,607263,2018-07-05 02:00:00,50349,2.0,50911,19
10744,603522H,2018-07-05 14:00:00,50911,2.0,50911,19
10738,520263,2018-07-05 17:00:00,50909,3.0,50909,19
10930,607263,2018-07-05 02:00:00,50349,3.0,50911,20
10933,601897,2018-07-05 22:00:00,50349,2.0,50349,20
10936,600963,2018-07-05 00:00:00,50911,2.0,50911,20
10733,605235,2018-07-05 17:00:00,50692,1.0,51087,20
10732,604734H,2018-07-05 15:00:00,50268,3.0,50268,20
10924,604800H,2018-07-05 09:00:00,50692,3.0,50911,21
10729,601535,2018-07-05 17:00:00,50840,1.0,50692,21
10724,601897,2018-07-05 18:00:00,50909,3.0,50349,21
10723,607289,2018-07-05 04:00:00,50269,1.0,50269,21
10722,604773H,2018-07-05 21:00:00,50841,2.0,50841,21
10721,518009,2018-07-05 21:00:00,50911,1.0,50911,21
10719,604832H,2018-07-05 13:00:00,50267,1.0,50267,21
10717,518009,2018-07-05 21:00:00,50911,1.0,50911,21
10912,605432,2018-07-05 01:00:00,50911,3.0,50911,22
