requestID,userID,datetime,locationID,chargingLen,score,incentive,originLocationID,originHour,x_value
11381,604745H,2018-07-04 16:00:00,51199,2.0,-1.0,0,51199,16,0.0010391072716995926
11386,604749H,2018-07-04 15:00:00,51198,3.0,-1.0,0,51198,15,0.2249635519121828
11389,604897H,2018-07-04 15:00:00,51200,1.0,-1.0,0,51200,15,0.0009466171230298208
11390,604802H,2018-07-04 18:00:00,50263,3.0,0.30788660315411354,5,50269,15,0.001169767203427916
11399,604733H,2018-07-04 15:00:00,51198,1.0,-1.0,0,51198,15,-0.01643646359524459
11418,604749H,2018-07-04 14:00:00,50268,2.0,-1.0,0,50268,14,-0.02651042515362031
11404,603912,2018-07-04 08:00:00,50240,2.0,0.32780623212059234,5,50349,14,-0.05159259402318622
11371,518475,2018-07-04 21:00:00,50911,2.0,-1.0,0,50911,17,-0.018214136442838764
11324,519392,2018-07-04 00:00:00,50911,3.0,-1.0,0,50911,22,-1.1715685054351834
11360,519392,2018-07-04 21:00:00,50911,2.0,-1.0,0,50911,17,-1.1715685054351834
11359,607613,2018-07-04 01:00:00,50268,2.0,0.006101233888646868,10,50692,18,-0.09680774741113246
11348,603522H,2018-07-04 00:00:00,50911,3.0,-1.0,0,50911,19,-3.7958679000770275
11340,604773H,2018-07-04 06:00:00,50269,2.0,0.17799280805159126,2,50841,20,-0.0005576666222076368
11335,603906,2018-07-04 21:00:00,50841,1.0,-1.0,0,50841,21,-0.6313039756544314
11331,603522H,2018-07-04 22:00:00,50911,1.0,-1.0,0,50911,21,-0.0019677854585351895
11329,604903H,2018-07-04 21:00:00,50266,1.0,-1.0,0,50266,21,-2.152942821193907
11321,604735H,2018-07-04 23:00:00,50268,1.0,-1.0,0,50268,23,-0.14936435237850398
11365,604760H,2018-07-04 02:00:00,51087,1.0,0.012266297522836509,3,50240,17,-0.0012489018427996133
11421,604775H,2018-07-04 15:00:00,50263,1.0,-1.0,0,50263,13,-2.211544660629103
11509,603522H,2018-07-04 06:00:00,51087,2.0,0.1125,1,50911,0,-8.224249992870539e-06
11426,520263,2018-07-04 02:00:00,50349,2.0,0.020150582807018272,1,50909,13,-0.22658551269298774
11475,520263,2018-07-04 11:00:00,51087,1.0,-1.0,0,51087,10,-0.3206615543546313
11468,601555,2018-07-04 03:00:00,51087,2.0,0.0027777777777777775,1,51087,10,-0.00030385160072182043
11462,603522H,2018-07-04 00:00:00,50911,2.0,-1.0,0,50911,11,-4.067001321511101
11432,518009,2018-07-04 13:00:00,50675,2.0,-1.0,0,50675,13,-1.099777475767056
11451,604726H,2018-07-04 01:00:00,50240,1.0,0.013492063492063491,2,51198,12,-0.18576060120123195
11157,518475,2018-07-04 02:00:00,50338,1.0,0.018948412698412697,10,50911,17,-0.3934564178078146
11159,604775H,2018-07-04 17:00:00,50263,1.0,-1.0,0,50263,17,-0.1850960487562269
11161,603680,2018-07-04 23:00:00,50911,1.0,-1.0,0,50911,17,-0.19692467629999988
11171,603522H,2018-07-04 23:00:00,50911,1.0,-1.0,0,50911,16,-0.6227545023932689
11179,607688,2018-07-04 23:00:00,50911,1.0,-1.0,0,50911,16,0.3736527014359614
11182,604899H,2018-07-04 10:00:00,50338,2.0,0.16993177631848042,5,50338,15,4.069266311284218e-06
11155,603522H,2018-07-04 23:00:00,50911,1.0,-1.0,0,50911,17,-1.3616292557115928
11193,607670,2018-07-04 00:00:00,50911,2.0,-1.0,0,50911,15,-1.276527427229618
11147,519392,2018-07-04 06:00:00,50267,1.0,0.1375,3,50675,18,-1.2552519701091251
11146,601555,2018-07-04 02:00:00,51199,3.0,0.021726190476190475,3,51087,19,-1.5395247898908917
11130,601535,2018-07-04 21:00:00,50692,3.0,-1.0,0,50692,21,-1.8217185312561581
11129,603906,2018-07-04 04:00:00,50841,1.0,0.08,3,50841,21,-2.6142877114497416e-06
11125,604903H,2018-07-04 21:00:00,50266,1.0,-1.0,0,50266,21,-2.472107846215282
11118,604734H,2018-07-04 00:00:00,50268,2.0,-1.0,0,50268,23,-1.7100182152876044
11259,604760H,2018-07-04 11:00:00,50240,1.0,-1.0,0,50240,11,-1.4631277473579283
11242,604903H,2018-07-04 19:00:00,50266,2.0,-1.0,0,50266,13,-2.472107846215282
