requestID,userID,datetime,locationID,chargingLen,score,incentive,originLocationID,originHour,x_value
10000,518009,2018-07-07 21:00:00,50911,3.0,-1.0,0,50911,18,-0.6968759407649657
10037,604749H,2018-07-07 15:00:00,51200,1.0,-1.0,0,51200,15,-1.440575079998984
10017,604735H,2018-07-07 00:00:00,50268,1.0,0.0,0,50268,16,-0.005640423031727368
9980,601535,2018-07-07 22:00:00,50840,2.0,-1.0,0,50840,20,-8.897512057514083
9979,603906,2018-07-07 07:00:00,51087,1.0,0.17728253042778883,8,50841,20,-0.24209067377130475
9978,604903H,2018-07-07 07:00:00,50338,2.0,0.22101244789102986,8,50266,20,-0.5287182388696908
9973,605235,2018-07-07 03:00:00,50267,1.0,0.0,8,51087,21,-0.3663051859174836
9971,604900H,2018-07-07 21:00:00,50266,1.0,-1.0,0,50266,21,-5.601253427340389
9969,605235,2018-07-07 22:00:00,50911,1.0,-1.0,0,50911,22,-0.45600676346254576
9989,605079H,2018-07-07 21:00:00,50692,1.0,-1.0,0,50692,19,-1.5899052846160309
10061,601535,2018-07-07 14:00:00,50692,2.0,-1.0,0,50692,14,-0.7164100361624515
10132,518475,2018-07-07 07:00:00,50911,3.0,-1.0,0,50911,7,-0.13479076310148078
10117,601555,2018-07-07 10:00:00,50911,1.0,-1.0,0,50911,10,-1.7931039373087754
10102,520263,2018-07-07 11:00:00,50909,3.0,-1.0,0,50909,11,-1.3882117898175805
10120,604730H,2018-07-07 10:00:00,50263,2.0,-1.0,0,50263,9,-2.172745631495261
10092,603906,2018-07-07 12:00:00,50841,2.0,-1.0,0,50841,12,-3.1506854237182864
10072,604832H,2018-07-07 13:00:00,50267,2.0,-1.0,0,50267,13,-3.106463622207281
10070,604749H,2018-07-07 13:00:00,51198,2.0,-1.0,0,51198,13,-3.4582669681754457
10065,604761H,2018-07-07 21:00:00,50349,1.0,-1.0,0,50349,13,-3.071289275217815
10064,604726H,2018-07-07 13:00:00,51200,2.0,-1.0,0,51200,13,-4.1233183082091855
10063,604730H,2018-07-07 16:00:00,50263,1.0,-1.0,0,50263,13,-2.172745631495261
10100,604760H,2018-07-07 03:00:00,50268,2.0,0.004550040765374564,1,50240,11,-0.0017198893702257804
9797,607294,2018-07-07 00:00:00,51087,2.0,0.004860412708604295,1,50911,17,-0.00012766389577984066
9798,607294,2018-07-07 21:00:00,51087,2.0,-1.0,0,51087,17,-3.759941613206297
9801,518475,2018-07-07 19:00:00,50911,1.0,-1.0,0,50911,17,-40.98385122947217
9805,604775H,2018-07-07 17:00:00,50263,1.0,-1.0,0,50263,17,-12.037973934564066
9808,604730H,2018-07-07 17:00:00,50263,2.0,-1.0,0,50263,17,-12.037973934564066
9826,604726H,2018-07-07 15:00:00,51200,2.0,-1.0,0,51200,15,-0.5721680592288817
9812,520263,2018-07-07 16:00:00,50909,2.0,-1.0,0,50909,16,-0.3103945787128318
9789,519287,2018-07-07 21:00:00,50911,1.0,-1.0,0,50911,19,-0.0009361704680875526
9759,603912,2018-07-07 22:00:00,50692,2.0,-1.0,0,50692,22,-30.872900480152783
9785,603522H,2018-07-07 06:00:00,50268,2.0,0.125,0,50911,19,-0.05200001418195405
9782,601159,2018-07-07 01:00:00,50268,3.0,0.011361649832469359,6,50911,19,-0.0010046385333291146
9779,605079H,2018-07-07 22:00:00,50692,1.0,-1.0,0,50692,20,-3.0222523878737166
9777,604773H,2018-07-07 20:00:00,50841,1.0,-1.0,0,50841,20,-0.5281604765708023
9771,519392,2018-07-07 22:00:00,50911,1.0,-1.0,0,50911,21,-1.1715685054351834
9770,603906,2018-07-07 21:00:00,50841,2.0,-1.0,0,50841,21,-1.054474247987111
9769,604903H,2018-07-07 21:00:00,50266,1.0,-1.0,0,50266,21,-3.8699557910545543
9763,603912,2018-07-07 00:00:00,50692,2.0,-1.0,0,50692,22,-2.268597639694364
9829,518475,2018-07-07 15:00:00,50911,1.0,-1.0,0,50911,15,-40.98385122947217
9756,515623,2018-07-07 00:00:00,50911,3.0,-1.0,0,50911,23,-21.77160027046887
9787,605079H,2018-07-07 23:00:00,50692,1.0,-1.0,0,50692,19,-3.0222523878737166
9914,601555,2018-07-07 13:00:00,51087,2.0,-1.0,0,51087,11,-3.2870661887351496
9895,605079H,2018-07-07 16:00:00,50692,1.0,-1.0,0,50692,12,-3.0222523878737166
9843,604728H,2018-07-07 15:00:00,51199,1.0,-1.0,0,51199,15,-5.85164037406057
9891,603522H,2018-07-07 13:00:00,50911,2.0,-1.0,0,50911,12,-3.3447340166076924
